Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,3770.000000,3820.000000,3760.000000,3820.000000,3716.218506,44322600
2019-03-19,3800.000000,3820.000000,3770.000000,3780.000000,3677.305176,33156500
2019-03-20,3810.000000,3820.000000,3750.000000,3760.000000,3657.848633,42784600
2019-03-21,3800.000000,3810.000000,3780.000000,3790.000000,3687.033691,36527500
2019-03-22,3800.000000,3820.000000,3790.000000,3800.000000,3696.761963,26772900
2019-03-25,3730.000000,3790.000000,3720.000000,3790.000000,3687.033691,49162900
2019-03-26,3780.000000,3820.000000,3780.000000,3820.000000,3716.218506,23049100
2019-03-27,3840.000000,3840.000000,3810.000000,3820.000000,3716.218506,35521900
2019-03-28,3820.000000,3890.000000,3810.000000,3880.000000,3774.588379,55847200
2019-03-29,3880.000000,3970.000000,3880.000000,3960.000000,3852.415039,82231400
2019-04-01,3950.000000,3960.000000,3900.000000,3930.000000,3823.229980,28246400
2019-04-02,3910.000000,3950.000000,3910.000000,3930.000000,3823.229980,35443400
2019-04-03,3930.000000,3930.000000,3930.000000,3930.000000,3823.229980,0
2019-04-04,3980.000000,4040.000000,3950.000000,4030.000000,3920.513184,96122100
2019-04-05,4020.000000,4090.000000,4000.000000,4060.000000,3949.698242,66832600
2019-04-08,4020.000000,4030.000000,3940.000000,3950.000000,3842.686768,73208300
2019-04-09,3980.000000,4000.000000,3910.000000,3950.000000,3842.686768,88580200
2019-04-10,3920.000000,3950.000000,3890.000000,3930.000000,3823.229980,52555500
2019-04-11,3900.000000,3930.000000,3880.000000,3890.000000,3784.316895,51480700
2019-04-12,3820.000000,3870.000000,3810.000000,3830.000000,3725.946777,45324300
2019-04-15,3860.000000,3860.000000,3810.000000,3830.000000,3725.946777,44510600
2019-04-16,3830.000000,3880.000000,3830.000000,3870.000000,3764.860107,62572100
2019-04-17,3870.000000,3870.000000,3870.000000,3870.000000,3764.860107,0
2019-04-18,3920.000000,3950.000000,3840.000000,3860.000000,3755.131836,119263400
2019-04-19,3860.000000,3860.000000,3860.000000,3860.000000,3755.131836,0
2019-04-22,3860.000000,3860.000000,3780.000000,3780.000000,3677.305176,48671200
2019-04-23,3780.000000,3870.000000,3730.000000,3850.000000,3745.403564,86443700
2019-04-24,3850.000000,3860.000000,3780.000000,3840.000000,3735.675293,76660900
2019-04-25,3800.000000,3840.000000,3790.000000,3830.000000,3725.946777,52775100
2019-04-26,3800.000000,3910.000000,3800.000000,3910.000000,3803.773438,66452700
2019-04-29,3850.000000,3900.000000,3850.000000,3860.000000,3755.131836,50143700
2019-04-30,3890.000000,3890.000000,3750.000000,3790.000000,3687.033691,132318200
2019-05-01,3790.000000,3790.000000,3790.000000,3790.000000,3687.033691,0
2019-05-02,3760.000000,3880.000000,3760.000000,3830.000000,3725.946777,136768800
2019-05-03,3800.000000,3830.000000,3760.000000,3820.000000,3716.218506,101522800
2019-05-06,3760.000000,3840.000000,3720.000000,3840.000000,3735.675293,107167400
2019-05-07,3870.000000,3910.000000,3840.000000,3900.000000,3794.045166,74814500
2019-05-08,3890.000000,3920.000000,3870.000000,3900.000000,3794.045166,77743400
2019-05-09,3860.000000,3900.000000,3800.000000,3800.000000,3696.761963,74716500
2019-05-10,3800.000000,3840.000000,3790.000000,3790.000000,3687.033691,66672500
2019-05-13,3820.000000,3840.000000,3760.000000,3770.000000,3667.576904,47605100
2019-05-14,3730.000000,3800.000000,3720.000000,3760.000000,3657.848633,77483200
2019-05-15,3770.000000,3790.000000,3660.000000,3660.000000,3560.565430,57596600
2019-05-16,3660.000000,3720.000000,3530.000000,3600.000000,3502.195557,107366200
2019-05-17,3610.000000,3620.000000,3500.000000,3510.000000,3414.640625,94437400
2019-05-20,3520.000000,3620.000000,3480.000000,3600.000000,3502.195557,82354400
2019-05-21,3600.000000,3630.000000,3550.000000,3600.000000,3502.195557,106104000
2019-05-22,3590.000000,3600.000000,3540.000000,3540.000000,3443.825684,63687000
2019-05-23,3540.000000,3690.000000,3540.000000,3660.000000,3560.565430,113281100
2019-05-24,3700.000000,3780.000000,3690.000000,3750.000000,3648.120361,87594500
2019-05-27,3760.000000,3830.000000,3750.000000,3820.000000,3716.218506,87146600
2019-05-28,3800.000000,3820.000000,3690.000000,3690.000000,3589.750488,322246900
2019-05-29,3750.000000,3830.000000,3730.000000,3780.000000,3677.305176,122534500
2019-05-30,3780.000000,3780.000000,3780.000000,3780.000000,3677.305176,0
2019-05-31,3780.000000,3930.000000,3780.000000,3900.000000,3794.045166,194331700
2019-06-03,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-04,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-05,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-06,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-07,3900.000000,3900.000000,3900.000000,3900.000000,3794.045166,0
2019-06-10,4000.000000,4060.000000,3970.000000,4040.000000,3930.241699,222522800
2019-06-11,4010.000000,4060.000000,4000.000000,4020.000000,3910.784912,88861700
2019-06-12,3880.000000,3950.000000,3840.000000,3940.000000,3940.000000,134724400
2019-06-13,3940.000000,3990.000000,3900.000000,3990.000000,3990.000000,115734700
2019-06-14,4020.000000,4050.000000,3970.000000,3990.000000,3990.000000,92466800
