Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,334.000000,350.000000,332.000000,346.000000,346.000000,127872700
2019-03-19,350.000000,352.000000,342.000000,348.000000,348.000000,85819900
2019-03-20,350.000000,352.000000,326.000000,336.000000,336.000000,135298000
2019-03-21,324.000000,330.000000,300.000000,304.000000,304.000000,182726400
2019-03-22,310.000000,326.000000,304.000000,324.000000,324.000000,109996400
2019-03-25,324.000000,334.000000,316.000000,330.000000,330.000000,101387400
2019-03-26,344.000000,350.000000,324.000000,328.000000,328.000000,125070900
2019-03-27,330.000000,334.000000,310.000000,324.000000,324.000000,123251700
2019-03-28,324.000000,330.000000,316.000000,326.000000,326.000000,90046200
2019-03-29,328.000000,334.000000,310.000000,312.000000,312.000000,138041600
2019-04-01,316.000000,320.000000,234.000000,286.000000,286.000000,347080300
2019-04-02,282.000000,292.000000,260.000000,286.000000,286.000000,128518800
2019-04-03,286.000000,286.000000,286.000000,286.000000,286.000000,0
2019-04-04,288.000000,290.000000,268.000000,272.000000,272.000000,60812000
2019-04-05,272.000000,278.000000,250.000000,256.000000,256.000000,78762800
2019-04-08,252.000000,260.000000,234.000000,238.000000,238.000000,91977100
2019-04-09,230.000000,270.000000,228.000000,260.000000,260.000000,152710700
2019-04-10,260.000000,266.000000,252.000000,258.000000,258.000000,94433000
2019-04-11,256.000000,260.000000,248.000000,256.000000,256.000000,41048200
2019-04-12,246.000000,258.000000,242.000000,254.000000,254.000000,59087500
2019-04-15,252.000000,260.000000,252.000000,254.000000,254.000000,37373100
2019-04-16,256.000000,262.000000,252.000000,254.000000,254.000000,60385900
2019-04-17,254.000000,254.000000,254.000000,254.000000,254.000000,0
2019-04-18,258.000000,290.000000,254.000000,290.000000,290.000000,228271600
2019-04-19,290.000000,290.000000,290.000000,290.000000,290.000000,0
2019-04-22,292.000000,314.000000,286.000000,312.000000,312.000000,185363500
2019-04-23,312.000000,328.000000,298.000000,298.000000,298.000000,186275100
2019-04-24,298.000000,310.000000,288.000000,296.000000,296.000000,89101200
2019-04-25,296.000000,310.000000,290.000000,302.000000,302.000000,77945500
2019-04-26,304.000000,316.000000,296.000000,308.000000,308.000000,143151000
2019-04-29,308.000000,326.000000,308.000000,326.000000,326.000000,155841500
2019-04-30,326.000000,330.000000,310.000000,312.000000,312.000000,120965500
2019-05-01,312.000000,312.000000,312.000000,312.000000,312.000000,0
2019-05-02,312.000000,320.000000,310.000000,316.000000,316.000000,78037100
2019-05-03,318.000000,324.000000,308.000000,318.000000,318.000000,71042600
2019-05-06,316.000000,322.000000,310.000000,318.000000,318.000000,50837600
2019-05-07,318.000000,334.000000,316.000000,318.000000,318.000000,151799700
2019-05-08,316.000000,324.000000,310.000000,322.000000,322.000000,68830900
2019-05-09,322.000000,338.000000,320.000000,330.000000,330.000000,152389200
2019-05-10,332.000000,338.000000,330.000000,338.000000,338.000000,83226500
2019-05-13,340.000000,348.000000,332.000000,338.000000,338.000000,125536000
2019-05-14,334.000000,334.000000,296.000000,302.000000,302.000000,136285000
2019-05-15,300.000000,302.000000,254.000000,258.000000,258.000000,115555000
2019-05-16,262.000000,284.000000,240.000000,266.000000,266.000000,129124600
2019-05-17,270.000000,272.000000,250.000000,252.000000,252.000000,41419000
2019-05-20,254.000000,262.000000,234.000000,258.000000,258.000000,53632900
2019-05-21,260.000000,276.000000,258.000000,262.000000,262.000000,86333800
2019-05-22,264.000000,268.000000,254.000000,254.000000,254.000000,21646000
2019-05-23,256.000000,272.000000,256.000000,266.000000,266.000000,55219400
2019-05-24,270.000000,286.000000,264.000000,284.000000,284.000000,118539200
2019-05-27,290.000000,294.000000,282.000000,282.000000,282.000000,66085600
2019-05-28,282.000000,290.000000,278.000000,280.000000,280.000000,41852200
2019-05-29,280.000000,290.000000,280.000000,286.000000,286.000000,31621400
2019-05-30,286.000000,286.000000,286.000000,286.000000,286.000000,0
2019-05-31,286.000000,298.000000,284.000000,284.000000,284.000000,60415500
2019-06-03,284.000000,284.000000,284.000000,284.000000,284.000000,0
2019-06-04,284.000000,284.000000,284.000000,284.000000,284.000000,0
2019-06-05,284.000000,284.000000,284.000000,284.000000,284.000000,0
2019-06-06,284.000000,284.000000,284.000000,284.000000,284.000000,0
2019-06-07,284.000000,284.000000,284.000000,284.000000,284.000000,0
2019-06-10,286.000000,296.000000,286.000000,290.000000,290.000000,39076700
2019-06-11,292.000000,326.000000,290.000000,326.000000,326.000000,190284600
2019-06-12,328.000000,334.000000,312.000000,312.000000,312.000000,122823300
2019-06-13,312.000000,326.000000,312.000000,320.000000,320.000000,45500700
2019-06-14,320.000000,324.000000,312.000000,314.000000,314.000000,26088900
